campaign,campaign_date,site_id,date_collected,date_received,job_id,report_file,lab_sample_id,analyte_std,result_text,result_value,detect_flag,rl,unit,qualifier,dil_fac
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid (11Cl-PF3OUdS),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,3-Perfluoropropylpropanoic acid (3:3 FTCA),<2.7,,0,2.7,ng/L,,1
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,"1H,1H,2H,2H-Perfluorohexane sulfonic acid (4:2 FTS)",<2.7,,0,2.7,ng/L,,1
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,3-Perfluoropentylpropanoic acid (5:3 FTCA),<6.8,,0,6.8,ng/L,,1
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,"1H,1H,2H,2H-Perfluorooctane sulfonic acid (6:2 FTS)",<2.7,,0,2.7,ng/L,,1
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,3-Perfluoroheptylpropanoic acid (7:3 FTCA),<6.8,,0,6.8,ng/L,,1
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,"1H,1H,2H,2H-Perfluorodecane sulfonic acid (8:2 FTS)",<2.7,,0,2.7,ng/L,,1
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acid (9Cl-PF3ONS),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,"4,8-Dioxa-3H-perfluorononanoic acid (ADONA)",<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,Hexafluoropropylene Oxide Dimer Acid (HFPO-DA),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,N-ethylperfluorooctane sulfonamide (NEtFOSA),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,N-ethylperfluorooctanesulfonamidoac etic acid (NEtFOSAA),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,N-ethylperfluorooctane sulfonamidoethanol (NEtFOSE),<6.8,,0,6.8,ng/L,,1
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,"Nonafluoro-3,6-dioxaheptanoic acid (NFDHA)",<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,N-methylperfluorooctane sulfonamide (NMeFOSA),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,N-methylperfluorooctanesulfonamidoa cetic acid (NMeFOSAA),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,N-methylperfluorooctane sulfonamidoethanol (NMeFOSE),<6.8,,0,6.8,ng/L,,1
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,Perfluorobutanoic acid (PFBA),5.6,5.6,1,2.7,ng/L,,1
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,Perfluorobutanesulfonic acid (PFBS),3.4,3.4,1,1.4,ng/L,,1
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,Perfluorodecanoic acid (PFDA),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,Perfluorodecanesulfonic acid (PFDS),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,Perfluorododecanoic acid (PFDoA),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW25,2025-12-21 10:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-7,Perfluorododecanesulfonic acid (PFDoS),<1.4,,0,1.4,ng/L,,1
